reference_identifier,rate_dt,ccy,mid,country,bond_ext_name,issue_dt,first_coupon_date,mature_dt,isin,issuer_name,coupon_frq,coupon,tot_issue,cfi_code,issue_rating,bond_duration,issue,remain_duration,y_bid1,y_offer1,y_bid2,y_offer2,y_bid3,y_offer3,y_bid4,y_offer4,y_bid5,y_offer5,y_bid6,y_offer6,y_bid7,y_offer7,y_bid8,y_offer8,y_bid9,y_offer9,y_bid10,y_offer10,y_bid15,y_offer15,y_bid20,y_offer20,y_bid30,y_offer30,time,ytm,estimated_bondprice,term_spread,bid_offer_spread_1,bid_offer_spread_2,bid_offer_spread_3,bid_offer_spread_4,bid_offer_spread_5,bid_offer_spread_6,bid_offer_spread_7,bid_offer_spread_8,bid_offer_spread_9,bid_offer_spread_10,bid_offer_spread_15,bid_offer_spread_20,bid_offer_spread_30,1 YEAR,10 YEARS,15 YEARS,2 YEARS,20 YEARS,25 YEARS,3 YEARS,30 YEARS,4 YEARS,5 YEARS,6 YEARS,7 YEARS,8 YEARS,9 YEARS
NL0011220108,2016-06-01,EUR,100.251,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3331,,,-0.4822,-0.4505,-0.4651,-0.4357,-0.4261,-0.418,-0.2786,-0.2716,-0.1663,-0.1588,-0.0497,-0.0405,0.0712,0.0795,0.2156,0.2212,0.344,0.347,,,0.7436,0.7549,0.9598,0.9701,3652,0.3455,99.14351658491331,1.22495,,-0.9327000000000001,-0.9008,-0.8441,-0.5502,-0.3251,-0.0902,0.1507,0.4368,0.691,,1.4985,1.9299,0.86,1.51,1.68,0.8325,1.85,2.0075,0.86,2.075,0.9025,0.96,1.045,1.165,1.28,1.4
NL0011220108,2016-06-02,EUR,100.319,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3330,,,-0.4753,-0.4435,-0.4593,-0.4409,-0.4227,-0.4146,-0.286,-0.2755,-0.1709,-0.1634,-0.053,-0.0488,0.0613,0.0698,0.2023,0.2112,0.332,0.336,,,0.7137,0.7225,0.9353,0.9419,3652,0.334,99.24644093366778,1.19705,,-0.9188000000000001,-0.9002,-0.8373,-0.5615,-0.3343,-0.1018,0.1311,0.4135,0.668,,1.4362,1.8772,0.855,1.505,1.67,0.8275,1.8375,1.9975,0.855,2.065,0.9,0.955,1.045,1.16,1.275,1.3925
NL0011220108,2016-06-03,EUR,100.702,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3329,,,-0.4947,-0.4627,-0.4688,-0.4614,-0.4459,-0.4378,-0.3192,-0.3087,-0.2092,-0.2017,-0.0917,-0.0852,0.0207,0.0277,0.16,0.1655,0.287,0.291,,,0.6517,0.6632,0.8671,0.8737,3652,0.289,99.64944523321411,1.15855,,-0.9574,-0.9301999999999999,-0.8837,-0.6278999999999999,-0.4109,-0.1769,0.0484,0.3255,0.578,,1.3149,1.7408000000000001,0.8775,1.4925,1.6575,0.835,1.8275,1.9875,0.85,2.0575,0.895,0.9475,1.035,1.15,1.265,1.3825
NL0011220108,2016-06-06,EUR,100.632,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3326,,,-0.5002,-0.4682,-0.4813,-0.4517,-0.4394,-0.4313,-0.3017,-0.2947,-0.1999,-0.1924,-0.0732,-0.0673,0.0364,0.0435,0.1768,0.1824,0.303,0.308,,,0.6578,0.6651,0.875,0.8815,3652,0.3055,99.50199003079275,1.1913,,-0.9683999999999999,-0.933,-0.8707,-0.5964,-0.3923,-0.1405,0.0799,0.3592,0.611,,1.3229000000000002,1.7565,0.9025,1.4975,1.66,0.8475,1.83,1.99,0.855,2.06,0.895,0.955,1.045,1.155,1.2675,1.3925
NL0011220108,2016-06-07,EUR,100.751,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3325,,,-0.5014,-0.4694,-0.4768,-0.4694,-0.4502,-0.4421,-0.329,-0.322,-0.2229,-0.2154,-0.0968,-0.0838,0.0131,0.021,0.15,0.1588,0.278,0.282,,,0.6093,0.6143,0.8218,0.8333,3652,0.28,99.73054051607842,1.1551,,-0.9707999999999999,-0.9461999999999999,-0.8923,-0.651,-0.4383,-0.18059999999999998,0.034100000000000005,0.30879999999999996,0.56,,1.2235999999999998,1.6551,0.91,1.5,1.665,0.8575,1.83,1.99,0.8675,2.06,0.905,0.965,1.04,1.155,1.27,1.3925
NL0011220108,2016-06-08,EUR,100.841,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3324,,,-0.5017,-0.4696,-0.4855,-0.4782,-0.4486,-0.435,-0.3218,-0.3146,-0.2236,-0.2162,-0.0904,-0.0839,0.0133,0.0197,0.1489,0.1577,0.276,0.28,,,0.5822,0.5898,0.7997,0.8062,3652,0.278,99.7485539146018,1.1525,,-0.9713,-0.9637,-0.8835999999999999,-0.6364,-0.43979999999999997,-0.1743,0.033,0.3066,0.556,,1.1720000000000002,1.6059,0.9625,1.4975,1.655,0.89,1.8175,1.99,0.8875,2.06,0.9225,0.98,1.0525,1.1675,1.2725,1.395
NL0011220108,2016-06-09,EUR,101.153,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3323,,,-0.5023,-0.4916,-0.4894,-0.482,-0.4583,-0.4447,-0.3309,-0.3257,-0.239,-0.2315,-0.1136,-0.1071,-0.0127,-0.0056,0.1217,0.1272,0.243,0.249,,,0.5175,0.5363,0.7345,0.7408,3652,0.246,100.03596794334325,1.1156,,-0.9939,-0.9714,-0.903,-0.6566000000000001,-0.47050000000000003,-0.2207,-0.0183,0.2489,0.492,,1.0537999999999998,1.4753,0.9625,1.475,1.6325,0.88,1.795,1.9625,0.8725,2.0325,0.91,0.9675,1.035,1.15,1.26,1.375
NL0011220108,2016-06-10,EUR,101.208,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3322,,,-0.4993,-0.467,-0.4868,-0.4793,-0.4469,-0.4387,-0.329,-0.3237,-0.2267,-0.2215,-0.1183,-0.1105,-0.0121,-0.0053,0.1183,0.1242,0.24,0.245,,,0.4909,0.4994,0.693,0.7069,3652,0.2425,100.0674316758684,1.0953,,-0.9663,-0.9661,-0.8855999999999999,-0.6527000000000001,-0.44820000000000004,-0.2288,-0.0174,0.2425,0.485,,0.9903,1.3999,0.9675,1.4525,1.6125,0.8575,1.7675,1.935,0.8525,2.005,0.885,0.9475,1.0175,1.1275,1.24,1.35
NL0011220108,2016-06-13,EUR,100.96,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3319,,,-0.5038,-0.4715,-0.4967,-0.467,-0.4444,-0.4363,-0.3221,-0.3163,-0.215,-0.2084,-0.1012,-0.0947,0.0083,0.0144,0.1387,0.1442,0.261,0.268,,,0.5242,0.5327,0.7348,0.7453,3652,0.2645,99.86989220669676,1.13455,,-0.9753000000000001,-0.9637,-0.8807,-0.6384000000000001,-0.4234,-0.19590000000000002,0.022699999999999998,0.2829,0.529,,1.0569,1.4801,0.995,1.445,1.605,0.87,1.7575,1.9225,0.8575,1.99,0.8875,0.9425,1.01,1.1175,1.2275,1.34
NL0011220108,2016-06-14,EUR,101.053,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3318,,,-0.5411,-0.5142,-0.526,-0.4963,-0.4751,-0.467,-0.3435,-0.3383,-0.2229,-0.2163,-0.1102,-0.0998,0.0067,0.0137,0.1238,0.1293,0.248,0.252,,,0.4643,0.4726,0.669,0.6752,3652,0.25,100.00000000000001,1.1722000000000001,,-1.0553,-1.0223,-0.9421,-0.6818,-0.4392,-0.21000000000000002,0.0204,0.2531,0.5,,0.9369000000000001,1.3442,0.97,1.43,1.5875,0.855,1.74,1.9075,0.8375,1.975,0.87,0.9275,0.995,1.1025,1.215,1.3275
