#NAME?,,,DECPIZ1Y=ICAP,DECPIZ2Y=ICAP,DECPIZ3Y=ICAP,DECPIZ4Y=ICAP,DECPIZ5Y=ICAP,DECPIZ6Y=ICAP,DECPIZ7Y=ICAP,DECPIZ8Y=ICAP,DECPIZ9Y=ICAP,DECPIZ10Y=ICAP,DECPIZ12Y=ICAP,DECPIZ15Y=ICAP,DECPIZ20Y=ICAP,DECPIZ25Y=ICAP,DECPIZ30Y=ICAP,,,,,,,,,,,,,,
,,Timestamp,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,,,,,,,,,,,,,,
DECPIZ1Y=ICAP,,12/23/2021,3.28625,2.6475,2.49625,2.41875,2.3675,2.3375,2.3275,2.3275,2.3225,2.3325,2.35125,2.41,2.4225,2.425,2.3375,,,,,,,,,,,,,,
DECPIZ2Y=ICAP,,12/22/2021,3.33875,2.685,2.52625,2.445,2.39,2.36,2.3525,2.3475,2.34375,2.355,2.37375,2.43125,2.445,2.4475,2.36,,,,,,,,,,,,,,
DECPIZ3Y=ICAP,,12/21/2021,3.15625,2.57625,2.435,2.3625,2.315,2.28625,2.28125,2.27625,2.275,2.2875,2.31125,2.3725,2.39625,2.40125,2.31625,,,,,,,,,,,,,,
DECPIZ4Y=ICAP,,12/20/2021,3.01375,2.46875,2.3425,2.28375,2.245,2.2225,2.21875,2.21,2.20875,2.225,2.2525,2.3125,2.335,2.33875,2.25375,,,,,,,,,,,,,,
DECPIZ5Y=ICAP,,12/17/2021,2.89875,2.40625,2.31375,2.27625,2.245,2.22125,2.21625,2.20625,2.20375,2.22,2.2475,2.30625,2.3275,2.33125,2.24625,,,,,,,,,,,,,,
DECPIZ6Y=ICAP,,12/16/2021,2.91375,2.42625,2.3375,2.3025,2.265,2.24125,2.235,2.22375,2.22125,2.2375,2.265,2.32375,2.345,2.34875,2.26375,,,,,,,,,,,,,,
DECPIZ7Y=ICAP,,12/15/2021,2.76625,2.32875,2.25875,2.24,2.21875,2.1975,2.19625,2.18875,2.19,2.2075,2.23625,2.29625,2.31875,2.32375,2.23875,,,,,,,,,,,,,,
DECPIZ8Y=ICAP,,12/14/2021,2.75,2.31625,2.25,2.235,2.21625,2.1975,2.19875,2.1925,2.195,2.21375,2.24,2.29875,2.32,2.32375,2.23875,,,,,,,,,,,,,,
DECPIZ9Y=ICAP,,12/13/2021,2.73875,2.3325,2.28875,2.26625,2.24,2.2225,2.22375,2.21875,2.22125,2.24,2.265,2.32125,2.34125,2.3425,2.2575,,,,,,,,,,,,,,
DECPIZ10Y=ICAP,,12/10/2021,2.71375,2.315,2.27625,2.2575,2.235,2.2175,2.21875,2.21375,2.21625,2.235,2.25875,2.3175,2.34,2.34,2.255,,,,,,,,,,,,,,
DECPIZ12Y=ICAP,,12/9/2021,2.6475,2.28875,2.255,2.24125,2.22375,2.20625,2.2075,2.2025,2.20375,2.22375,2.25,2.31125,2.33875,2.34125,2.25875,,,,,,,,,,,,,,
DECPIZ15Y=ICAP,,12/8/2021,2.62375,2.30375,2.26625,2.24875,2.2225,2.21,2.2125,2.21375,2.2175,2.235,2.2625,2.325,2.3575,2.3575,2.27625,,,,,,,,,,,,,,
DECPIZ20Y=ICAP,,12/7/2021,2.57875,2.28375,2.24875,2.23125,2.2125,2.20375,2.20875,2.2125,2.21875,2.2375,2.265,2.325,2.355,2.35375,2.2725,,,,,,,,,,,,,,
DECPIZ25Y=ICAP,,12/6/2021,2.4775,2.22625,2.185,2.17125,2.1625,2.16,2.1675,2.175,2.1825,2.2025,2.2325,2.29625,2.32625,2.32625,2.24625,,,,,,,,,,,,,,
