deal_no,deal_dt,settle_dt,mature_dt,name,ext_name,code,name,name,country,isin,buy_sell, face_value ,bond_price,capitalpph,incomepph,settlepph,coupon
2962957,3/21/2019,3/21/2019,4/22/2033,BE0000346552             ,BELGIUM 1.25% 18-2033,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000346552    ,BUY  ," 2,600,000.00 ",105.052,105.052,1.304794521,106.3567945,1.25
2969772,3/27/2019,3/29/2019,4/22/2033,BE0000346552             ,BELGIUM 1.25% 18-2033,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000346552    ,SELL ," 2,600,000.00 ",107.354,107.354,1.332191781,108.6861918,1.25
2969773,3/27/2019,3/29/2019,6/22/2029,BE0000347568,BELGIE 0.90% 19-2029,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000347568    ,SELL ," 10,000,000.00 ",105.112,105.112,0.18,105.292,0.9
2969775,3/27/2019,3/29/2019,6/22/2029,BE0000347568,BELGIE 0.90% 19-2029,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000347568    ,BUY  ," 15,000,000.00 ",104.998,104.998,0.18,105.178,0.9
2882038,1/8/2019,1/15/2019,6/22/2029,BE0000347568,BELGIE 0.90% 19-2029,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000347568    ,BUY  ," 8,000,000.00 ",99.566,99.566,0,99.566,0.9
2882037,1/9/2019,1/15/2019,6/22/2029,BE0000347568,BELGIE 0.90% 19-2029,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000347568    ,SELL ," 8,000,000.00 ",99.702,99.702,0,99.702,0.9
2974250,4/1/2019,4/3/2019,6/22/2029,BE0000347568,BELGIE 0.90% 19-2029,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000347568    ,SELL ," 5,000,000.00 ",104.565,104.565,0.192328767,104.7573288,0.9
3342834,1/23/2020,1/27/2020,6/22/2030,BE0000349580,BELGIE 0.10% 20-2030,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000349580    ,BUY  ," 10,000,000.00 ",100.522,100.522,0.00136612,100.5233661,0.1
3345247,1/24/2020,1/28/2020,6/22/2030,BE0000349580,BELGIE 0.10% 20-2030,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000349580    ,SELL ," 10,000,000.00 ",100.858,100.858,0.001639344,100.8596393,0.1
3454691,4/7/2020,4/9/2020,10/22/2027,BE0000351602,BELGIE 0.00% 20-2027,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000351602    ,SELL ," 1,500,000.00 ",99.813,99.813,0,99.813,0
3444728,3/31/2020,4/7/2020,10/22/2027,BE0000351602,BELGIE 0.00% 20-2027,RENT1     ,Trade Strategies         ,BELGIE BRU                         ,BE        ,BE0000351602    ,BUY  ," 11,500,000.00 ",100.098,100.098,0,100.098,0
