#NAME?,,,USCPIZ1Y=ICAP,USCPIZ2Y=ICAP,USCPIZ3Y=ICAP,USCPIZ4Y=ICAP,USCPIZ5Y=ICAP,USCPIZ6Y=ICAP,USCPIZ7Y=ICAP,USCPIZ8Y=ICAP,USCPIZ9Y=ICAP,USCPIZ10Y=ICAP,USCPIZ12Y=ICAP,USCPIZ15Y=ICAP,USCPIZ20Y=ICAP,USCPIZ25Y=ICAP,USCPIZ30Y=ICAP,,,,,,,,,,,,,,
,,Timestamp,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,,,,,,,,,,,,,,
USCPIZ1Y=ICAP,,12/23/2021,3.775,3.32,3.105,2.975,2.89375,2.82875,2.7725,2.4725,2.72125,2.70625,2.66375,2.5975,2.51875,2.4825,2.49875,,,,,,,,,,,,,,
USCPIZ2Y=ICAP,,12/22/2021,3.765,3.3,3.1325,3.00625,2.8725,2.8,2.75625,2.72875,2.71375,2.7025,2.66,2.59625,2.51625,2.48125,2.495,,,,,,,,,,,,,,
USCPIZ3Y=ICAP,,12/21/2021,3.7025,3.26375,3.08,2.9375,2.83125,2.7775,2.735,2.71125,2.69,2.6775,2.63875,2.5825,2.515,2.47875,2.4875,,,,,,,,,,,,,,
USCPIZ4Y=ICAP,,12/20/2021,3.725,3.2375,3.02125,2.88625,2.79875,2.72375,2.68625,2.64375,2.61875,2.59625,2.5575,2.505,2.4425,2.39625,2.4075,,,,,,,,,,,,,,
USCPIZ5Y=ICAP,,12/17/2021,3.825,3.3375,3.08125,2.92625,2.81875,2.735,2.68625,2.655,2.62875,2.61625,2.5725,2.5125,2.43875,2.38875,2.3975,,,,,,,,,,,,,,
USCPIZ6Y=ICAP,,12/16/2021,3.87875,3.345,3.06,2.905,2.7975,2.71625,2.6675,2.64375,2.6125,2.59875,2.5475,2.48,2.39125,2.36375,2.38625,,,,,,,,,,,,,,
USCPIZ7Y=ICAP,,12/15/2021,3.865,3.285,3.0725,2.9225,2.80625,2.74375,2.705,2.66875,2.64875,2.62125,2.57625,2.51,2.4275,2.39375,2.41375,,,,,,,,,,,,,,
USCPIZ8Y=ICAP,,12/14/2021,3.895,3.315,3.0425,2.9225,2.815,2.7375,2.69625,2.65375,2.62375,2.5975,2.555,2.495,2.42,2.385,2.4025,,,,,,,,,,,,,,
USCPIZ9Y=ICAP,,12/13/2021,4.14125,3.5075,3.23,3.0525,2.91125,2.84125,2.81,2.75625,2.72125,2.6925,2.64375,2.575,2.4925,2.4475,2.45375,,,,,,,,,,,,,,
USCPIZ10Y=ICAP,,12/10/2021,4.14,3.50625,3.23,3.04125,2.93,2.86125,2.81875,2.78,2.74125,2.71375,2.665,2.5975,2.515,2.47125,2.4825,,,,,,,,,,,,,,
USCPIZ12Y=ICAP,,12/9/2021,4.29,3.65625,3.35,3.1425,2.98,2.93,2.88,2.82,2.80125,2.77375,2.72,2.645,2.5525,2.5075,2.515,,,,,,,,,,,,,,
USCPIZ15Y=ICAP,,12/8/2021,4.29,3.6525,3.37375,3.17375,3.0375,2.94375,2.8975,2.9475,2.8875,2.7725,2.71,2.62125,2.515,2.4875,2.505,,,,,,,,,,,,,,
USCPIZ20Y=ICAP,,12/7/2021,4.205,3.58125,3.32375,3.14375,3.02875,2.94375,2.88,2.83375,2.7875,2.75875,2.6975,2.615,2.5225,2.5075,2.5075,,,,,,,,,,,,,,
USCPIZ25Y=ICAP,,12/6/2021,4.09875,3.48875,3.21875,3.05125,2.92,2.83,2.765,2.72375,2.68375,2.67125,2.61625,2.54375,2.46125,2.43625,2.4475,,,,,,,,,,,,,,
USCPIZ30Y=ICAP,,12/3/2021,4.12,3.5225,3.2375,3.05,2.895,2.80875,2.7625,2.725,2.6925,2.67875,2.61875,2.55,2.475,2.46375,2.48125,,,,,,,,,,,,,,
,,12/2/2021,4.08,3.445,3.20375,3.01875,2.8925,2.83375,2.77875,2.755,2.72625,2.69875,2.64125,2.575,2.51125,2.4925,2.495,,,,,,,,,,,,,,
