,reference_identifier,ccy,rate_dt,mid
173111,DE0001135499,EUR,2021-05-01,103.74
173276,DE0001135499,EUR,2021-06-01,103.711
173442,DE0001135499,EUR,2021-07-01,103.703
173609,DE0001135499,EUR,2021-08-01,103.685
173869,DE0001135499,EUR,2021-11-01,103.668
174036,DE0001135499,EUR,2021-12-01,103.651
174205,DE0001135499,EUR,2021-01-13,103.65
174375,DE0001135499,EUR,2021-01-14,103.672
174546,DE0001135499,EUR,2021-01-15,103.657
174718,DE0001135499,EUR,2021-01-18,103.64
174890,DE0001135499,EUR,2021-01-19,103.621
175062,DE0001135499,EUR,2021-01-20,103.617
175234,DE0001135499,EUR,2021-01-21,103.57
175407,DE0001135499,EUR,2021-01-22,103.586
175580,DE0001135499,EUR,2021-01-25,103.604
175753,DE0001135499,EUR,2021-01-26,103.598
175927,DE0001135499,EUR,2021-01-27,103.616
176102,DE0001135499,EUR,2021-01-28,103.609
176277,DE0001135499,EUR,2021-01-29,103.581
176452,DE0001135499,EUR,2021-01-02,103.569
176627,DE0001135499,EUR,2021-02-02,103.541
176802,DE0001135499,EUR,2021-03-02,103.522
176978,DE0001135499,EUR,2021-04-02,103.492
177154,DE0001135499,EUR,2021-05-02,103.494
177331,DE0001135499,EUR,2021-08-02,103.481
177508,DE0001135499,EUR,2021-09-02,103.48
177686,DE0001135499,EUR,2021-10-02,103.474
177864,DE0001135499,EUR,2021-11-02,103.467
178042,DE0001135499,EUR,2021-12-02,103.445
178220,DE0001135499,EUR,2021-02-15,103.421
178398,DE0001135499,EUR,2021-02-16,103.411
178576,DE0001135499,EUR,2021-02-17,103.411
178754,DE0001135499,EUR,2021-02-18,103.373
178932,DE0001135499,EUR,2021-02-19,103.368
179110,DE0001135499,EUR,2021-02-22,103.371
179288,DE0001135499,EUR,2021-02-23,103.355
179466,DE0001135499,EUR,2021-02-24,103.349
179830,DE0001135499,EUR,2021-02-25,103.292
180194,DE0001135499,EUR,2021-02-26,103.281
180465,DE0001135499,EUR,2021-01-03,103.335
180829,DE0001135499,EUR,2021-02-03,103.331
181100,DE0001135499,EUR,2021-03-03,103.3
181464,DE0001135499,EUR,2021-04-03,103.287
181921,DE0001135499,EUR,2021-05-03,103.269
182099,DE0001135499,EUR,2021-08-03,103.253
182370,DE0001135499,EUR,2021-09-03,103.249
182735,DE0001135499,EUR,2021-10-03,103.233
183100,DE0001135499,EUR,2021-11-03,103.227
183465,DE0001135499,EUR,2021-12-03,103.214
183830,DE0001135499,EUR,2021-03-15,103.226
184381,DE0001135499,EUR,2021-03-16,103.218
184932,DE0001135499,EUR,2021-03-17,103.205
185390,DE0001135499,EUR,2021-03-18,103.178
185756,DE0001135499,EUR,2021-03-19,103.193
186215,DE0001135499,EUR,2021-03-22,103.199
186581,DE0001135499,EUR,2021-03-23,103.205
187040,DE0001135499,EUR,2021-03-24,103.2
187222,DE0001135499,EUR,2021-03-25,103.19
188148,DE0001135499,EUR,2021-03-26,103.183
188609,DE0001135499,EUR,2021-03-29,103.18
188977,DE0001135499,EUR,2021-03-30,103.135
189438,DE0001135499,EUR,2021-03-31,103.12
189992,DE0001135499,EUR,2021-01-04,103.139
190360,DE0001135499,EUR,2021-06-04,103.139
190635,DE0001135499,EUR,2021-07-04,103.142
190910,DE0001135499,EUR,2021-08-04,103.129
191278,DE0001135499,EUR,2021-09-04,103.108
191647,DE0001135499,EUR,2021-12-04,103.109
192017,DE0001135499,EUR,2021-04-13,103.103
192295,DE0001135499,EUR,2021-04-14,103.086
192666,DE0001135499,EUR,2021-04-15,103.06
192944,DE0001135499,EUR,2021-04-16,103.049
193129,DE0001135499,EUR,2021-04-19,103.018
193500,DE0001135499,EUR,2021-04-20,103.021
193872,DE0001135499,EUR,2021-04-21,103.025
194151,DE0001135499,EUR,2021-04-22,103.006
194523,DE0001135499,EUR,2021-04-23,102.998
194988,DE0001135499,EUR,2021-04-26,102.99
195267,DE0001135499,EUR,2021-04-27,102.979
195453,DE0001135499,EUR,2021-04-28,102.968
195732,DE0001135499,EUR,2021-04-29,102.942
196104,DE0001135499,EUR,2021-04-30,102.945
196476,DE0001135499,EUR,2021-03-05,102.938
196848,DE0001135499,EUR,2021-04-05,102.936
197313,DE0001135499,EUR,2021-05-05,102.938
197871,DE0001135499,EUR,2021-06-05,102.92
198243,DE0001135499,EUR,2021-07-05,102.908
198615,DE0001135499,EUR,2021-10-05,102.898
198988,DE0001135499,EUR,2021-11-05,102.876
